à		Vit, I, E
nhiếc móc		Vt


tĩnh		Na, Aa
xú khí		Na
thịnh soạn		Aa
văn hoá phẩm		Nc, Ng

đối mặt		Vit
hiếu hỉ		Na
móc máy		Vit
róc rách		Aa

xực		Vt

xuất kì bất ý		Jt
protit		Np
sành		Nc, Ng, Vt, Aa
mít dai		Nc, Ng
khăn áo		Nc, Ng
xúc giác		Nc, Ng, Vit
măng le		Nc, Ng


rõi		Vt
thở dài		Vit
thất thểu		Vit, Aa
trống rỗng		Aa

ký quĩ		Vit
giáo ban		Ng
mật ngữ		Na
ngã lòng		Vit




trôn kim		Nc, Ng
quắc		Vit, Vt
mùi mẽ gì		X
hư đốn		Aa
ống chân		Nc, Ng
niên kỷ		Na
phiết		Vt

sỏi		Nc, Ng
xôđa		Np
trái xoan		Nc, Ng
thảm thiết		Aa

mấy nả		X
hoán cải		Vit
nghĩa khí		Na, Aa
lai nhai		Aa




thưa thớt		Aa
tía lia		Vit, Aa
ngang		Nl, Aa
lãnh cảm		Aa
hoen gỉ		Aa
tối đất		Aa
nghe ra		Vit

thừa		Na, Vta, Aa
nghỉ		Na, Vit
truyện cổ		Nc, Ng
tàn hương		Na
vống		Aa
ị		Aa
háo danh		Aa
kiến gió		Nc, Ng
lùng sục		Vt



ỏng		Aa
trầy trụa		Aa
tươi bưởi		Aa
nội hàm		Na
móc đơn		Nc, Ng
mái đẩy		Nc, Ng
to gan		Aa
nội khoá		Na


ngợi		Vt
ướt rượt		Aa
tính trạng		Na
thuốc phiện		Nc, Ng
ở trần		Vit
gian tế		Nc, Ng
hải sâm		Nc
ô-liu		Np
thân chủ		Nc, Ng


rạc		Aa
tự quyết		Vit
thoát thai		Vit
ninh		Vt
quào		Vt
êm lặng		Aa
phủ định		Na, Vt
náp cày		Nc, Ng
yên vị		Vit
rủn		Vit
sách		Nc, Ng

thục luyện		Aa
tinh thành		Aa
tấn sĩ		Na
kì quặc		Aa
khấn khứa		Vit
nổi nóng		Vit
thạch bản		Na

với		Na, I, Cc 
tý đỉnh		Na

thuốc tiêm		Nc, Ng
sức bật		Na
sơn dã		Na
gạo lứt		Nc, Ng
plây		Np
micro		Np
tây học		Na
són		Vit
khắn		Vt

viễn tiêu		Vit
thương cảm		Vt, Vim, Vtim
súp de		Nc, Ng
làm tới		Vit
giảm tốc		Vit
lớ ngớ		Aa
micrô		Np


thứ tự		Na

tầm thường		Aa
tỷ tê		Vit, Aa
toẹt		Aa, Jd
ký vãng		Na
hành hoa		Nc
nói ngoa		Vit
nghiệt		Aa
tởn		Vitim
lý nhí		Aa

tư tưởng		Na
thuỷ tĩnh học		Na
thảo dã		Aa
loạn lạc		Na
dòng điện		Nc, Ng
sâm		Nc, Ng
phìa tạo		Nc, Ng


xác vờ		An

tộc trưởng		Nc, Ng
thiên cung		Na

ngoắt		Vt
gotic		Np
qua lại		Vit
nghe lỏm		Vt

ngộn		Aa, An

trơ trẽn		Aa
triết nhân		Nc, Ng
ruổi		Vit
nói lịu		Vit
hai lá mầm		Ng
ngân khố		Nc, Ng
quăng		Vt
vỡ giọng		Vit

sấp		Aa
trực hệ		Na
trưng cầu		Vt
tả khuynh		Aa
thừa cơ		Vit
ở đợ		Vit
hôn mê		Vit
nước mũi		Nc, Ng
nội phản		Na
xoi xỉa		Vt
niệm		Vt
xà ích		Nc, Ng

trung cảnh		Na
thừa tự		Vit
tấm tức		Vit
mãng xà		Nc, Ng
lùng bùng		Aa
sưng		Vit

vũ nữ		Nc, Ng
tép		Nc, Ng, Nu, Aa
tình ái		Na
vận chuyển		Vt
tung hoành		Vit
xôm		Vt, Aa
nhướn		Vit, Vt
hàn the		Nc
phe cánh		Nc, Ng
manh động		Vit

xịn		Aa
số dách		Na

tư bản bất biến		Na
trầm		Na, Vit, Vt, Aa
sạch sẽ		Aa
lồng lộn		Vit
làm biếng		Vit
tô nô		Nc, Ng
phù trợ		Vit

xo		Vt, Aa
số gia		Na
viện quý tộc		Nc, Ng
tươi thắm		Aa

quất		Nc, Ng, Vt
hiệu số		Na
hứng thú		Na, Aa
nói sảng		Vit
thằng cha		Nc, Ng

xâm		Vt, Aa
thí		Vt

trẽn		Aa
quái ác		Aa
lò Mác-tanh		Nc, Ng
hoàn hảo		Aa
tỷ ty		Aa
phạt đền		Vit

sù sì		Aa
phù nề		Na

trinh sát		Na, Vt
sinh thiết		Vit
sáo mòn		Aa
hộ		Ng, Nu, Vt
hội thẩm		Nc, Ng
nhỏ nhặt		Aa, An
ngẫm ngợi		Vt, Vim, Vtim

zero		Np
tự đắc		Aa

tuần phiên		Na
so đo		Vit
nản lòng		Vitim
lên lớp		Vit
minh bạch		Aa
quá đáng		Aa
thối hoắc		Aa
từ A đến Z		X
nhà báo		Nc, Ng

vượn người		Nc, Ng

tự biên		Vit
lắm điều		Aa
hoa môi		Nc
nước chín		Nc, Ng
nhì nhằng		Aa




xtrích-nin		Np
rác rến		Nc, Ng
tàn canh		Vit
lĩnh canh		Vta
hội thảo		Nc, Ng, Vt
rối rít		Aa
nhạc công		Nc, Ng
từ tố		Na
rang		Vt

trợn trừng		Vit
trắng tinh		Aa
tê tê		Nc, Ng
lộn nhào		Vit
khẩu ngữ		Na
phác thực		Aa
ngang nối		Nc


tỷ lệ		Na, Aa


túi dết		Nc, Ng
tang chủ		Nc, Ng
mơ mòng		Vit, Aa
ngược đãi		Vt
que hàn		Nc, Ng
phụ liệu		Nc, Ng

ổn định		Vt, Aa
thẻ bài		Nc, Ng
tương tàn		Vit
vu oan giá hoạ		Vit

lò		Nc, Ng
hằng sản		Aa
lồng hổng		Aa
pa-ti-nê		Vit
thanh bạch		Aa

tóm		Vt
lóng		Nc, Nu, Vt

thượng tằng		Na
peso		Np
nước hoa		Nc, Ng
kết giao		Vt
phế thải		Na, Vt
nhảy mũi		Vit

nhứt		Nl, Jd
lễ nghĩa		Na

tính chuyện		Vt
xã đoàn		Na
mả		Nc, Ng, Aa
chứ		Cc, I
ngó ngàng		Vt
ông địa		Nc, Ng
xe pháo		Nc, Ng
vọt		Na
y sĩ		Nc, Ng
ngủm		Vit
tuyệt thế		Aa
thượng thận		Nc, Ng
tham ô		Vt
suy		Vt, Vim, Vtim
lay bay		Aa
thịt		Nc, Ng, Vt
nước đôi		Aa

ruốc		Nc, Ng
màng ối		Nc, Ng

trường đoạn		Nc, Ng
xoẹt		Aa, Jd
nè		I, E
lợn rừng		Nc, Ng
hùng mạnh		Aa
óng ánh		Vit, Aa
tinh dịch		Nc, Ng

vòng		Nc, Nu, Vt, Aa
Nô en		Np

trân châu lùn		Nc, Ng
túng bấn		Aa
thế vận		Na
máy hát		Nc, Ng
mấy khi		X
ngựa trời		Nc, Ng
tạp chủng		Nc, Ng
xấu		Aa
nhảnh		Vt
xe đò		Nc, Ng

thoạt nhiên		Jt
rõ rành		Aa
kỳ cọ		Vt
lẳng lặng		Jd
thư từ		Nc, Ng, Vit
tiêu chí		Na

yếu		Aa
phò tá		Vt
tủ chè		Nc, Ng

tô tức		Na
tính cách		Na
liên tục		An
khôi vĩ		Aa
rau diếp		Nc 
quốc phục		Nc, Ng

ngục tù		Nc, Ng

trong vắt		Aa
trung châu		Na
sờ sững		Aa
lực		Na
hồng nhan		Na
thóc lúa		Nc, Ng
thầy số		Nc, Ng


tiệp		Vt

truy lãnh		Vt

xác thực		Aa
nắng ráo		Aa
lép xép		Vit
nội thất		Na
sinh ngữ		Na

nhặm lẹ		Aa
thái cực		Na
vốn lưu động		Na
vị thành niên		Aa
số liệt		Na
củ mì		Nc, Ng
kiểu dáng		Na
người đời		Nc, Ng
thầy tớ		Nc, Ng


o-xi		Np
xấp xỉ		Aa


tục hôn		Vit
rađium		Np
gồi		Nc
thánh giá		Na
quang học		Na

tiến cử		Vt
trĩ		Na
tủi hổ		Aa
ý trung nhân		Na
sần sùi		Aa
dổm		Aa
mệnh lệnh		Nc, Ng, Aa
nối ngôi		Vt
trẻ măng		Aa
thoái ngũ		Vit

radio		Np


ximpozium		Np
văn bằng		Nc, Ng
la đà		Vit
hời		Aa
phóng xạ		Vit
sáng kiến		Na


thọc léc		Vit
thế kỉ		Na
vung vinh		Aa
thuế má		Na
sân bay		Nc, Ng
mông-taj		Np
ngâm ngẩm		Aa
tạnh ráo		Aa
rupiah		Np

rậm rì		Aa
số hạng		Na
tuyệt mệnh		Vit
tiết trinh		Na, Aa
xâm lấn		Vt
me		Nc
huyền bí		Aa
nhãi nhép		Nc, Ng
tác thành		Vt
trắng bạch		Aa

sắc cạnh		Aa
súng		Nc, Ng
truy hoan		Vit
trúc chẻ ngói tan		X
tiếp cận		Vt
nhấn mạnh		Vt
nilông		Nc
tài bồi		Vt
tinh hoa		Na

thu		Na, Vt
rời rạc		Aa

vật lí hạt nhân		Na

tà		Na, Aa
khịa		Vt
mặc thây		Vt
ranh mãnh		Aa
tang chứng		Nc, Ng

văn chỉ		Na
tầng		Na

tuyên chiến		Vit
sáng tác		Nc, Ng, Vt
tẩy não		Vit
nhân sâm		Nc, Ng
rễ chùm		Nc, Ng
thải trừ		Vt

tiễu		Vt
nói lắp		Vit

trung liệt		Aa
xương sống		Nc, Ng
tầm sét		Na
hạ mã		Vit
lập thân		Vit
thân mật		Aa
yên lặng		Aa

vị thế		Na
tế nhị		Aa
ngồ ngộ		Aa
vai u thịt bắp		X
tai chua		Nc, Ng
túi xách		Nc, Ng
nắng nôi		Nc, Ng
tri phủ		Na
sai trái		Aa

tràn		Na, Vt, Jd
nói hớt		Vit
nhà hàng		Nc, Ng

tương xứng		Aa
ước muốn		Na, Vt
hờn		Na, Vit
kỷ cương		Na
phân biệt		Vtc
thiên sứ		Na

vú vê		Nc, Ng
thoái		Vit, Vo
nhẹ lời		Aa
toại nguyện		Vit
vắng vẻ		Aa
thiêu		Vt
quân cơ		Na
phát điện		Vit
tai quái		Aa
nhập khẩu		Vt

nực cười		Aa
xoe		Vt
vương vất		Aa
tang tảng sáng		Aa
to kềnh		An
kẽm		Nc, Ng
khí cụ		Nc, Ng
thách thức		Nc, Ng, Vit
thư thả		Aa


số đại số		Na
thơ		Nc, Ng, Aa

xung thiên		Aa
tinh lọc		Vt
mục tiêu		Nc, Ng
nghỉ tay		Vit
tàng trữ		Vt
sinh thể		Na

nịnh đầm		Vit
phản lực		Nc, Ng
thộp		Vt
trưởng ty		Nc, Ng
ước tính		Vt
kệ nệ		Aa
khả dĩ		Jd, Aa
pháo tép		Nc, Ng
thanh danh		Na


sách vở		Nc, Ng, Aa
sơ kì		Na


vay lãi		Vit
thực vật		Nc, Ng
nghị viện		Nc, Ng
phụ trách		Vt
thèm khát		Vt

tà tâm		Na
nhiệm kì		Nc, Ng

tưng tưng		Aa

lẩn		Vit
chờm		Vt
khẩu chiến		Vit
trướng		Nc, Ng, Aa
vô gia cư		Aa


thầy bà		Nc, Ng


tứ ngôn		Na
lào		Nc
người làm		Nc, Ng
phối ngẫu		Vt
PTS		X
thông báo		Na, Vt
vô can		Aa
ngần ngừ		Vit
vôi		Nc, Ng
trưng cầu dân ý		X

mén		Aa
chồn		Nc, Ng, Aa
thảm thê		Aa
tiên đế		Na
tịch liêu		Aa

vô số		An
thời đàm		Vit
yên ả		Aa

vân vi		Na
ở đậu		Vit
động		Nc, Ng, Vt, Cc
quá giang		Na, Vit
thơ trẻ		Aa
thông cáo		Na

tai biến		Na
tịnh độ		Na
xuất dương		Vit

nõn		Nc, Aa
mica		Np
nhân khẩu		Nc, Ng
tô-pô-học		Np
sâu răng		Nc, Ng

trụ sở		Nc, Ng
ráp nối		Vt
xang		Na, Vit


trật tự		Na
gara		Np
khởi thuỷ		Vit
to kếch		An
thông sử		Na

tiềm lực		Na
than đá		Nc, Ng


thất bát		Vit
mơ		Na, Vt, Vim, Vtim
quân cảng		Nc, Ng
phủi tay		Vit
tiêu dùng		Vit

trệt		Aa, Jd
phí tổn		Na
xì xồ		Vit, Aa

thiên duyên		Na
xe tăng		Nc, Ng
hét		Nc, Vit
khói		Nc, Ng
sinh tồn		Vit
tinh chất		Na

sút cân		Vit
rắn câng		Aa
thũng		Na

trừ diệt		Vt
vôi chín		Nc, Ng
đo đạc		Vt
rách rưới		Aa
tháo lui		Vit

yuan		Np
quãng		Na
thài lài		Nc, Ng

tổng cục trưởng		Nc, Ng

kí sự		Nc, Ng
hàm hồ		Aa
rạng đông		Na
tình thâm		Na

vô vị		Aa
tăngbo		Vit
thiểm		Aa

xe buýt		Nc, Ng
trọng âm		Na
ray rứt		Na, Vit
nhiều chân		Nc, Ng
thư nhàn		Aa
triệt hồi		Vt

ruỗng		Aa
phủ nhận		Vt


viễn thị		Aa
lí sự		Na, Vit
han gỉ		Aa
nhịp nhàng		Aa
thêu thùa		Vit
trông chờ		Vt

thuốc bắc		Nc, Ng
tâm bão		Nc, Ng


tính chất		Na
đạo lí		Na
nhân thân		Na
văn bản học		Na
thâm niên		Nc, Ng

quản đốc		Nc, Ng
tái hiện		Vt



lột		Vt
hiến		Vt
phỉnh nịnh		Vt
từ đồng âm		Na


tốt đẹp		Aa
thế tục		Na, Aa
tường thuật		Vt

trâm anh		Na
mục lục		Nc, Ng
ngoại trừ		Vt
rô-bô-tích		Np
thiếu hụt		Aa

tẻ nhạt		Aa
nho lâm		Na



mật		Nc, Ng, Aa
cỏ gấu		Nc, Ng
phơi màu		Aa
thực tại		Na
xung khắc		Aa

ước lược		Vt
tàu chợ		Nc, Ng
xác đáng		Aa

xuống lỗ		Vit
răn		Vt, Aa
kí hoạ		Nc, Ng, Vit
thông dâm		Vit
tội trạng		Na
trông đợi		Vt
tỉnh uỷ		Nc, Ng
sằng sặc		Vit
xe kéo		Nc, Ng
trung quân		Na, Vit

nịt		Nc, Ng, Vt
đôn		Nc, Ng, Vt
ê kíp		Np
thực nghiệm		Vit
xôm xốp		Aa


thết đãi		Vt
trực chỉ		Vt


téo		Na
lí hào		Nc, Ng
sở chỉ huy		Nc, Ng
trái tính		Aa
xtê-rê-ô		Np

quản chế		Vt
thảm khốc		Aa


tùng xẻo		Vit
liễn		Nc, Ng
góc bẹt		Nc, Ng
tòng chinh		Vit



thám hoa		Na
thẩm âm		Vit


vằm		Vt
hoa lệ		Aa
phai		Na, Vt
trắc thủ		Nc, Ng
trách nào chả		X

sang cát		Vit
thơ lại		Na


tự trọng		Vit
miễn		Vt, Cc
hò lơ		Ng
phá quấy		Vit
thượng tá		Nc, Ng


tiêu cực		Na, Aa
thầy cãi		Nc, Ng


vặn		Vt
mạy		Nc
kiếp		Na
văn khoa		Na
thui chột		Aa

trêu		Vt
răm rắp		Aa
thỏ thẻ		Aa

trấn thủ		Nc, Ng, Vit
mĩ tục		Na
gạn lọc		Vt
siêu hình		Aa
tiêu diệt		Vt


suy bì		Vit
thái thú		Nc, Ng



nhăn		Vt, Vit, Aa
giật		Vt
ròng rọc kép		Nc, Ng
trang kim		Vit

xấu xí		Aa
thảm cảnh		Na
thái tử		Nc, Ng



lá chắn		Nc, Ng
sông máng		Nc, Ng
vững chắc		Aa
tín phong		Na

trờ tới		Vit
sui gia		Nc, Ng

xui trẻ ăn cứt gà		X

quị		Vit
giầu		Nc, Ng, Aa
hí hửng		Vt, Vim, Vtim, Aa
mố		Nc


tiến cống		Vt
thiu		Aa



đo đắn		Vit
ông bà		Nc, Ng
xét hỏi		Vt
tươi rói		Aa

xe nước		Nc, Ng
thẩm định		Vt



rìu		Nc, Ng
độc tài		Aa
kha khá		Aa
ở nể		Vit


thuỷ đạo		Na
toán học		Na
tiếp âm		Vit


nạ dòng		Nc, Ng
tiếp tay		Vt
thông dụng		Aa


xa xưa		Aa
sánh bước		Vit



suý		Na
hậu kỳ		Na
khựng		Vit
tuôcnăng		Np
trường đời		Na

trực diện		Aa
tẻ ngắt		Aa
tính khí		Na

trúc trắc		Aa
sư		Nc, Ng
đong		Vt
trộm phép		Vt
tơ-rưng		Np


tảo hôn		Vit
tơ hoá học		Nc, Ng


tu		Vt, Aa
hữu lý		Aa
gấu chó		Nc, Ng
tĩnh điện		Na
tình chung		Na


tĩnh từ		Na
thống mạ		Vit


ướt		Aa
inôc		Np
thõng thẹo		Aa
trúng quả		Aa


táp nham		Aa
tống giam		Vt
xúc xích		Nc, Ng
ủ		Vt

liều		Nu, Vit, Aa
gia tộc		Nc, Ng
tu hành		Vit
múc		Vt


tự nhiên		Na, Aa
tri ân		Vit

xa lộ thông tin		Nc, Ng
tự vị		Na
ô danh		Aa
rồi đời		Vit
tương ớt		Nc, Ng


tổ viên		Nc, Ng
tinh gọn		Aa



lò rèn		Nc, Ng
địch cừu		Na, Vit
phân bổ		Vt



vô năng		Aa
tỉ lệ thức		Na


víu		Vt
quá độ		Jd
hết đời		Vit
sao đổi ngôi		Nc, Ng
rõ		Vt, Aa, I

vacxin		Np
thầm lặng		Aa
vi chất		Na


non bộ		Nc, Ng
ềnh ễnh		Aa
thưởng hoa		Vit



tổng đoàn		Nc, Ng
thiên bẩm		Na



que		Nc, Ng
hỗn hào		Aa
thương hồ		Vit
sẽ		Aa, Jt


thuốc ngủ		Nc, Ng
xưởng		Nc, Ng


ta-bu		Np
gần xa		An
điop		Np




xemina		Np
xà ngang		Nc, Ng


som		Na
lố lăng		Aa
ổ đề kháng		Nc, Ng
tỏ		Vt, Aa


tỉnh mộng		Vit
trò chơi		Nc, Ng
uổng phí		Vt

nam cao		Nc, Ng
diệu kế		Na
gian dối		Aa
xiên khoai		Nc, Ng



tổng sắp		Na
vàng hoa		Nc, Ng


tảo mộ		Vit
động từ		Na
lắp bắp		Vit

lạc đề		Aa

tôn thờ		Vt
yếu kém		Aa
vô nghĩa		Aa


hậu cần		Ng
gân cốt		Nc, Ng
trọng pháo		Nc, Ng
tuyệt đích		Na


tám hoánh		Na




đồn điền		Nc, Ng
hiếu hỷ		Na
vấp váp		Na, Vit
mối		Nc, Nu, Vt


vinh hoa		Na, Aa
trở ngại		Na


mỏi mòn		Aa
kiêu		Aa
tổ thành		Vt
tưng tửng		Aa


tình điệu		Na
tặng phẩm		Nc, Ng



ký quỹ		Vit
giậm doạ		Vt
vững tâm		Aa
nha		Nc



tràng kỷ		Nc, Ng


xì dầu		Nc, Ng
hư số		Na
phay		Nc, Vt, Aa
ước nguyện		Vt


triết lí		Na, Vit
thứ sinh		Aa



mốc meo		Aa
hoang dã		Na, Aa
ngọc phả		Nc, Ng
lỗ mỗ		Aa


vong hồn		Na
tiền định		Aa


von		Na
lâm tặc		Nc, Ng
hộp đen		Nc, Ng



tiểu thừa		Na
tinh thể		Nc, Ng



nước lợ		Nc, Ng
hằn thù		Vt
kình địch		Nc, Ng, Vt
mắm		Nc, Ng, Vt
đo đỏ		Aa

yểu điệu		Aa
tổng kết		Vt



nam bằng		Nc, Ng
mâm bồng		Nc, Ng

tủ đá		Nc, Ng


xuất giá		Vit
IC		Np


quàn		Vit
giền tía		Nc, Ng
hạnh ngộ		Vit
nậm		Nc
dọng		Nc


xu thế		Na



quèo		Vt
giao tế		Vit
tương hợp		Na, Vit
vóc		Na


yên trí		Vit



tận số		Aa
kì tình		Cc
khó chịu		Aa

xắc		Nc, Ng


thượng lộ		Vit
vixcô		Np


tai vạ		Na
giá vốn		Na
thói đời		Na

lóp		Aa

trinh nữ		Nc, Ng
yểm trợ		Vt
từng khạo		Na

tẽn tò		Aa
lạng ta		Nu
giáo vụ		Ng
thạch học		Na







tư mã		Na
la rầy		Vt
hay hớm		Aa

nợ đời		Na

thỗn thện		Aa
xôi xéo		Nc, Ng



mải mốt		Vt, Aa
đàn ông		Nc, Ng
xin quẻ		Vit



trợ động từ		Na




ngoặt		Vit
hà ngược		Aa

sđd		X
hỗng		Aa


ọc		Vit


nói mát		Vit
hải văn		Na
ngọc hành		Nc, Ng



trường ca		Nc, Ng




rụt rè		Aa
hung đồ		Nc, Ng
phản hồi		Vto
rởm		Aa
lụ khụ		Aa

tôm rồng		Nc, Ng
tổng tập		Na


tiền án		Na
may đo		Vt
lủng bủng		Vit

ốc xà cừ		Nc, Ng


trộm nghe		Vit
ý đồ		Na


o-xít		Np
hảo tâm		Na, Aa
phế tích		Nc, Ng
rén		Jd
nhài		Nc, Ng


vọng lâu		Nc, Ng
xép xẹp		Aa, An

vạm vỡ		Aa
manh mối		Na, Vit
làm chứng		Vt

vại		Nc, Ng


tràng hạt		Nc, Ng



quật		Vt
hoàn hồn		Vit
kháng cáo		Vit
sam		Na
hậu bổ		Na

xuyên		Vt



vớ vẩn		Vit, Aa
loạn dâm		Vit
hồi môn		Ng




trụ sinh		Vit



sĩ tốt		Nc, Ng
lạnh lẽo		Aa
hùng hậu		Aa
tĩn		Na
lãnh		Nc, Ng, Vta
ứ hơi		Vit

tướt bơ		Aa



nằm mộng		Vit
liêm sỉ		Na
nghiên		Nc
vợ lẽ		Nc, Ng


xô viết		Na, Aa

hờ		Vit, Vt, Aa

văn vẻ		Aa
liên can		Vt
hoan hô		Vit, Vt
phông		Nc, Ng
náng		Nc






tào lao		Aa
lừng danh		Vt
khảo đính		Vt

ngáo		Nc, Ng



Si		Na


lộn nhèo		Aa
khó tính		Aa
phản kích		Vit
nhện		Nc, Ng
nhà cái		Nc, Ng

tùng thư		Na



vịt đàn		Nc, Ng
mơ mộng		Vitim
ngược đời		Aa
vón		Vit
rỉ rả		Aa


xinh xẻo		Aa

tỵ		Na, Vit

mở thầu		Vit
hiếu sắc		Aa
lợm giọng		Aa
vẻo		Na
mơ hồ		Aa

vầy vậy		Aa




quay		Na, Vit
khoai sọ		Nc, Ng
phong bế		Vt
xào		Vt
liếp		Nc, Ng


lõ		Aa

ngớ		Vt
quản lí		Na, Vt
mai dong		Nc, Ng, Vit
ngỡ ngàng		Aa

thể dục		Na


xanh rớt		Aa



sư ni		Nc, Ng
loại thể		Na

rũ tù		Vit
nhấp		Vt
ức hiếp		Vt
trúng mánh		Vit
mã		Ng, Nu
cổ hủ		Aa
nhớ		Vt, Vim, Vtim, I
tuỳ bút		Nc, Ng
mách nước		Vt
hùng tâm		Na

nội lực		Na




vụ		Na, Vt

tiếm vị		Vit
mấp máy		Vit
ngạo nghễ		Aa
sớt		Vt
kỳ thú		Aa


nẻ		Vit

tổ bố		An
tầm tầm		Na, Aa
mang tai		Nc, Ng
li thân		Vit

toạ độ		Na






vo ve		Vit
linh vị		Nc, Ng
khuây		Vt
tốt		Nc, Ng, Aa, Jd
lữ thứ		Na



ký ức		Na
tức		Na, Vt, Vim, Vtim, Aa, Cc

roneo		Np
khóc than		Vit


ô nhục		Aa

vênh vang		Aa




ngửa tay		Vt
lép xẹp		An

ngắt		Vt, Jd
kiếng		Nc, Ng


ơ		Nc, E

ừng ực		Aa
sàm nịnh		Vit
lành lạnh		Aa
nho giáo		Na

rẩy		Vt

yên vui		Aa




rau lấp		Nc 
hui hút		Vit
thi hứng		Na
nhát		Na, Vt, Aa
huých		Vt


củ mỉ		Aa


tận diệt		Vt
mỏng mảnh		An
phó ty		Nc, Ng
vết		Na
to hó		Aa




gối		Nc, Ng, Vt

số hữu tỉ		Na
khí tiết		Na
phụ thân		Nc, Ng
nhầu		Aa
kỳ thực		Cc


dợm		Vt



muông		Ng
ngôi báu		Nc, Ng

váng		Na, Aa
plei		Np


le		Nc, Vt, Aa
hỡi		E

ren rén		Jd
huyện bộ		Ng
nhiếp ảnh		Vit
tử tức		Na
lỡ làng		Aa






nhún mình		Aa
ông mãnh		Nc, Ng

vang		Na, Vit, Aa
ngoải		Pd


mía đỏ		Nc, Ng
khố		Nc, Ng
thé		Aa
tiểu tổ		Na
mương		Nc, Ng
nghiệm số		Na

lúa chét		Nc, Ng
nghị lực		Na


Tân Ước		Np


thú vật		Nc, Ng
nhập vai		Vt, Aa
xichlô		Nc, Ng

phịu		Vit


tà ý		Na
khứa		Nc, Vt
túi		Nc, Ng
tòm tem		Vit
màu phấn		Nc, Ng
leo kheo		Aa

lanh lẹ		Aa
lợn hạch		Nc, Ng





vạn năng		Aa
nháo nhào		Aa
trừ phi		Cc

lấy lệ		X
sợi chỉ đỏ		Nc, Ng

uỷ		Vt
hàm		Nc, Na, Vt

vằn vèo		Aa
nước ngầm		Nc, Ng
lai sinh		Na
phân chất		Vt
oai vệ		Aa
mì chính		Nc, Ng





xuân nữ		Nc
rocket		Np
phân đoàn		Na

mũi đất		Nc, Ng
phin		Nc, Ng


hùn		Vt
sụm		Vit

ruộng nõ		Nc, Ng
mới tinh		Aa
thâm hiểm		Aa
tôn		Na, Vt
oai oái		E


vẻ		Na


vẩn vơ		Aa
ngăn trở		Vt
người nhà		Nc, Ng
thắng phụ		Vit
nước độc		Na
nghệ sĩ		Nc, Ng


kém		Aa, Jd
khóc		Vit
lão bộc		Nc, Ng
tán tụng		Vt
nhạc điện tử		Nc, Ng
phân tâm		Vit

nhà xác		Nc, Ng


vữa		Na



thước ta		Nc, Ng
nhược điểm		Na
sách công cụ		Nc, Ng
sửa sai		Vit
nghẹt		Vt, Aa


kền		Nc, Aa
khó dễ		Aa
ngàm		Nc
tham tàn		Aa
mãnh liệt		Aa
khuông		Nc

tác dụng		Na, Vt




phì		Vt, Aa

số vô tỉ		Na
ngưỡng mộ		Vt, Vim
thách cưới		Vit
tá dược		Nc, Ng
mà chược		Nc, Ng
xích đới		Na

lẫn		Vt, Jd, Cc
chớm		Vt
nhớm		Vt

nhất tâm		Aa, Jd
thanh bình		Aa

tính dục		Na
xe đạp		Nc, Ng


lão		Na, Aa

vải bò		Nc, Ng
ta luy		Np
mồ côi mồ cút		Aa
rổ rá cạp lại		X
sắm sửa		Vt
lên cân		Vit
lai hàng		Vit

mền		Nc, Ng
chốn		Nc, Ng
tức là		Vt

sâu xám		Nc, Ng
nhân kiệt		Nc, Ng
tông chi		Na
tục danh		Na
nhúc nhắc		Vit


te		Na, Vt, Aa
đùng		Aa
vi ba		Na
tuyền		Aa
nhạt nhẽo		Aa
khụt khịt		Aa

moi móc		Vt
roi cặc bò		Nc, Ng

nón		Nc, Ng
mô		Nc, Ng, Pi


volt kế		Np
saccharin		Np
tay phải		Nc

miễn dịch		Vit


ví dù		Cc
gas		Np


rêu rao		Vt
lửa hương		Nc, Ng

mộ táng		Nc, Ng
ngọc thỏ		Nc, Ng


nô		Nc, Vit


xèn xẹt		Aa
nhân tình		Na
sao phỏng		Vt

nước đái		Nc, Ng
phó ti		Nc, Ng


hệ từ		Na
khổ ải		Na, Aa
thối		Vit, Aa
nước ngọt		Nc, Ng
nhị viện chế		Na
sinh đôi		Vit, Aa
nói lót		Vit
lảnh lói		Aa



đoài		Na


sang đoạt		Vt
pháo cao xạ		Nc, Ng

tủ ly		Nc, Ng
nhà kho		Nc, Ng


